bc.no,inter,species,cicon,compound,subclass,mol.wt,hydrolysis,timecourse,timepoint,time.unit,baseline.conc,base.error,conc,point.error,error.measure,source.graphno,metab.graphno,metab.measure
114,37,human,60103303,"trans-Resveratrol 3,4'-disulfate",Stilbenes,388,None,TRUE,1,hours,0,NA,4,NA,SEM,NA,3701,µg/dL
114,37,human,60103303,"trans-Resveratrol 3,4'-disulfate",Stilbenes,388,None,TRUE,4,hours,0,NA,8,NA,SEM,NA,3701,µg/dL
114,37,human,60103303,"trans-Resveratrol 3,4'-disulfate",Stilbenes,388,None,TRUE,6,hours,0,NA,12,NA,SEM,NA,3701,µg/dL
114,37,human,60103303,"trans-Resveratrol 3,4'-disulfate",Stilbenes,388,None,TRUE,8,hours,0,NA,6,NA,SEM,NA,3701,µg/dL
114,37,human,60103303,"trans-Resveratrol 3,4'-disulfate",Stilbenes,388,None,TRUE,10,hours,0,NA,12,NA,SEM,NA,3701,µg/dL
115,37,human,60103203,"trans-Resveratrol 3,5-disulfate",Stilbenes,388,None,TRUE,1,hours,0,NA,4,NA,SEM,NA,3701,µg/dL
115,37,human,60103203,"trans-Resveratrol 3,5-disulfate",Stilbenes,388,None,TRUE,4,hours,0,NA,21,NA,SEM,NA,3701,µg/dL
115,37,human,60103203,"trans-Resveratrol 3,5-disulfate",Stilbenes,388,None,TRUE,6,hours,0,NA,33,NA,SEM,NA,3701,µg/dL
115,37,human,60103203,"trans-Resveratrol 3,5-disulfate",Stilbenes,388,None,TRUE,8,hours,0,NA,37,NA,SEM,NA,3701,µg/dL
115,37,human,60103203,"trans-Resveratrol 3,5-disulfate",Stilbenes,388,None,TRUE,10,hours,0,NA,10,NA,SEM,NA,3701,µg/dL
124,40,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,FALSE,1.5,hours,NA,NA,0.75,NA,NA,NA,NA,µg/mL
145,47,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,0.5,hours,0,NA,0,NA,SEM,NA,4701,ng/mL
145,47,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,1,hours,0,NA,6.1,NA,SEM,NA,4701,ng/mL
145,47,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,2,hours,0,NA,0,NA,SEM,NA,4701,ng/mL
145,47,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,4,hours,0,NA,0,NA,SEM,NA,4701,ng/mL
146,47,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,0.5,hours,0,NA,0,NA,SEM,NA,4701,ng/mL
146,47,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,1,hours,0,NA,32.8,NA,SEM,NA,4701,ng/mL
146,47,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,2,hours,0,NA,0,NA,SEM,NA,4701,ng/mL
146,47,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,4,hours,0,NA,0,NA,SEM,NA,4701,ng/mL
148,48,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,0.5,hours,0,NA,0,NA,SEM,NA,4801,ng/mL
148,48,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,1,hours,0,NA,15.46,NA,SEM,NA,4801,ng/mL
148,48,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,2,hours,0,NA,0,NA,SEM,NA,4801,ng/mL
148,48,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,4,hours,0,NA,0,NA,SEM,NA,4801,ng/mL
149,48,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,0.5,hours,0,NA,97.4,NA,SEM,NA,4801,ng/mL
149,48,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,1,hours,0,NA,180,NA,SEM,NA,4801,ng/mL
149,48,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,2,hours,0,NA,0,NA,SEM,NA,4801,ng/mL
149,48,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,4,hours,0,NA,0,NA,SEM,NA,4801,ng/mL
150,49,human,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,0.5,hours,0,NA,1.4,NA,SEM,NA,4901,ng/mL
150,49,human,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,1,hours,0,NA,0,NA,SEM,NA,4901,ng/mL
150,49,human,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,2,hours,0,NA,0,NA,SEM,NA,4901,ng/mL
150,49,human,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,4,hours,0,NA,0,NA,SEM,NA,4901,ng/mL
151,49,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,0.5,hours,0,NA,0,NA,SEM,NA,5001,ng/mL
151,49,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,1,hours,0,NA,0,NA,SEM,NA,5001,ng/mL
151,49,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,2,hours,0,NA,6.5,NA,SEM,NA,5001,ng/mL
151,49,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,4,hours,0,NA,0,NA,SEM,NA,5001,ng/mL
152,49,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,0.5,hours,0,NA,0,NA,SEM,NA,5001,ng/mL
152,49,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,1,hours,0,NA,108,NA,SEM,NA,5001,ng/mL
152,49,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,2,hours,0,NA,0,NA,SEM,NA,5001,ng/mL
152,49,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,4,hours,0,NA,0,NA,SEM,NA,5001,ng/mL
153,50,human,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,0.5,hours,0,NA,0.5,NA,SEM,NA,4901,ng/mL
153,50,human,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,1,hours,0,NA,0,NA,SEM,NA,4901,ng/mL
153,50,human,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,2,hours,0,NA,0,NA,SEM,NA,4901,ng/mL
153,50,human,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,4,hours,0,NA,0,NA,SEM,NA,4901,ng/mL
154,51,human,60101703,Resveratrol,Stilbenes,228,None,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,55,rabbit,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,2.5,minutes,NA,NA,1.1,0.8,SD,5501,NA,µmol/L
161,55,rabbit,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,5,minutes,NA,NA,0.7,0,SD,5501,NA,µmol/L
161,55,rabbit,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,10,minutes,NA,NA,0.3,0,SD,5501,NA,µmol/L
161,55,rabbit,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,30,minutes,NA,NA,0.07,0,SD,5501,NA,µmol/L
161,55,rabbit,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,60,minutes,NA,NA,0.03,0,SD,5501,NA,µmol/L
162,56,rat,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,2.5,minutes,NA,NA,0.7,0.2,SD,5501,NA,µmol/L
162,56,rat,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,5,minutes,NA,NA,1.2,0,SD,5501,NA,µmol/L
162,56,rat,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,10,minutes,NA,NA,0.4,0,SD,5501,NA,µmol/L
162,56,rat,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,30,minutes,NA,NA,0.1,0,SD,5501,NA,µmol/L
162,56,rat,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,60,minutes,NA,NA,0,0,SD,5501,NA,µmol/L
163,57,mouse,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,2.5,minutes,NA,NA,2.6,1,SD,5501,NA,µmol/L
163,57,mouse,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,5,minutes,NA,NA,1.7,1,SD,5501,NA,µmol/L
163,57,mouse,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,10,minutes,NA,NA,0.2,0,SD,5501,NA,µmol/L
163,57,mouse,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,30,minutes,NA,NA,0.04,0,SD,5501,NA,µmol/L
163,57,mouse,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,60,minutes,NA,NA,0.02,0,SD,5501,NA,µmol/L
164,59,mouse,60101903,"3,4,5,4'-Tetramethoxystilbene",Stilbenes,300,None,TRUE,15,minutes,NA,NA,0.5,NA,SD,5901,NA,nmol/mL
164,59,mouse,60101903,"3,4,5,4'-Tetramethoxystilbene",Stilbenes,300,None,TRUE,30,minutes,NA,NA,0.1,NA,SD,5901,NA,nmol/mL
170,62,mouse,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,?-glucuronidase and sulfatase,TRUE,15,minutes,0,NA,1,NA,SD,NA,NA,µmol/L
170,62,mouse,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,?-glucuronidase and sulfatase,TRUE,30,minutes,0,NA,1,NA,SD,NA,NA,µmol/L
171,62,mouse,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,?-glucuronidase and sulfatase,FALSE,15,minutes,0,NA,5,NA,NA,NA,NA,µmol/L
172,63,mouse,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,?-glucuronidase and sulfatase,TRUE,0.25,hours,0,NA,170,NA,SD,NA,6301,µmol/L
172,63,mouse,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,?-glucuronidase and sulfatase,TRUE,0.5,hours,0,NA,50,NA,SD,NA,6301,µmol/L
172,63,mouse,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,?-glucuronidase and sulfatase,TRUE,1,hours,0,NA,0,NA,SD,NA,6301,µmol/L
173,63,mouse,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,?-glucuronidase and sulfatase,TRUE,0.25,hours,0,NA,75,NA,SD,NA,6301,µmol/L
173,63,mouse,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,?-glucuronidase and sulfatase,TRUE,0.5,hours,0,NA,300,NA,SD,NA,6301,µmol/L
173,63,mouse,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,?-glucuronidase and sulfatase,TRUE,1,hours,0,NA,0.25,NA,SD,NA,6301,µmol/L
182,66,rat,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase,FALSE,80,days,NA,NA,61.9,9.9,SD,NA,NA,ng/mL
184,67,rat,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase,FALSE,80,days,NA,NA,53.5,11.6,SD,NA,NA,ng/mL
185,68,rat,90181003,Oleuropein,Tyrosols,540,?-glucuronidase,TRUE,15,minutes,NA,NA,60,NA,SD,NA,NA,ng/mL
185,68,rat,90181003,Oleuropein,Tyrosols,540,?-glucuronidase,TRUE,30,minutes,NA,NA,80,NA,SD,NA,NA,ng/mL
185,68,rat,90181003,Oleuropein,Tyrosols,540,?-glucuronidase,TRUE,60,minutes,NA,NA,140,NA,SD,NA,NA,ng/mL
185,68,rat,90181003,Oleuropein,Tyrosols,540,?-glucuronidase,TRUE,300,minutes,NA,NA,30,NA,SD,NA,NA,ng/mL
206,74,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,NA,NA,NA,NA,NA,NA,SD,NA,NA,µg/L
208,74,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase,FALSE,NA,NA,NA,NA,NA,NA,SD,NA,NA,µg/L
211,75,human,90183703,Tyrosol 4-sulfate,Tyrosols,218,None,TRUE,60,minutes,NA,NA,0,NA,SD,NA,7501,µmol/L
211,75,human,90183703,Tyrosol 4-sulfate,Tyrosols,218,None,TRUE,120,minutes,NA,NA,7.55,NA,SD,NA,7501,µmol/L
212,75,human,90180203,Hydroxytyrosol,Tyrosols,154,None,TRUE,60,minutes,NA,NA,0,NA,SD,NA,7501,µmol/L
212,75,human,90180203,Hydroxytyrosol,Tyrosols,154,None,TRUE,120,minutes,NA,NA,0.03,NA,SD,NA,7501,µmol/L
213,75,human,90809003,Homovanillic acid 4-sulfate,Hydroxyphenylacetic acids,262,None,TRUE,60,minutes,NA,NA,1.243,NA,SD,NA,7501,µmol/L
213,75,human,90809003,Homovanillic acid 4-sulfate,Hydroxyphenylacetic acids,262,None,TRUE,120,minutes,NA,NA,0.115,NA,SD,NA,7501,µmol/L
214,75,human,90809103,Vanillin 4-sulfate,Hydroxybenzaldehydes,232,None,TRUE,60,minutes,NA,NA,25.14,NA,SD,NA,7501,µmol/L
214,75,human,90809103,Vanillin 4-sulfate,Hydroxybenzaldehydes,232,None,TRUE,120,minutes,NA,NA,4.66,NA,SD,NA,7501,µmol/L
215,75,human,90809203,Vanillic acid 4-sulfate,Hydroxybenzoic acids,248,None,TRUE,60,minutes,NA,NA,0.05,NA,SD,NA,7501,µmol/L
215,75,human,90809203,Vanillic acid 4-sulfate,Hydroxybenzoic acids,248,None,TRUE,120,minutes,NA,NA,0.04,NA,SD,NA,7501,µmol/L
216,75,human,90182403,"3,4-DHPEA-EDA",Tyrosols,320,None,TRUE,60,minutes,NA,NA,0,NA,SD,NA,7501,µmol/L
216,75,human,90182403,"3,4-DHPEA-EDA",Tyrosols,320,None,TRUE,120,minutes,NA,NA,0.315,NA,SD,NA,7501,µmol/L
217,75,human,90183103,p-HPEA-EDA,Tyrosols,304,None,TRUE,60,minutes,NA,NA,0,NA,SD,NA,7501,µmol/L
217,75,human,90183103,p-HPEA-EDA,Tyrosols,304,None,TRUE,120,minutes,NA,NA,0.01,NA,SD,NA,7501,µmol/L
218,75,human,90801403,Vanillin,Hydroxybenzaldehydes,152,None,TRUE,60,minutes,NA,NA,0.743,NA,SD,NA,7501,µmol/L
218,75,human,90801403,Vanillin,Hydroxybenzaldehydes,152,None,TRUE,120,minutes,NA,NA,1.025,NA,SD,NA,7501,µmol/L
219,75,human,30100403,Vanillic acid,Hydroxybenzoic acids,168,None,TRUE,60,minutes,NA,NA,3.265,NA,SD,NA,7501,µmol/L
219,75,human,30100403,Vanillic acid,Hydroxybenzoic acids,168,None,TRUE,120,minutes,NA,NA,0,NA,SD,NA,7501,µmol/L
220,75,human,30100903,4-Hydroxybenzoic acid,Hydroxybenzoic acids,138,None,TRUE,60,minutes,NA,NA,6.327,NA,SD,NA,7501,µmol/L
220,75,human,30100903,4-Hydroxybenzoic acid,Hydroxybenzoic acids,138,None,TRUE,120,minutes,NA,NA,3.535,NA,SD,NA,7501,µmol/L
261,92,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,TRUE,1,hours,0,NA,0.3,0.1,SEM,NA,9202,nmol/L
261,92,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,TRUE,3,hours,0,NA,0.4,0.4,SEM,NA,9202,nmol/L
261,92,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,TRUE,6,hours,0,NA,0,NA,SEM,NA,9202,nmol/L
261,92,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,TRUE,12,hours,0,NA,0,NA,SEM,NA,9202,nmol/L
261,92,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,TRUE,24,hours,0,NA,0,NA,SEM,NA,9202,nmol/L
265,92,rat,10101103,Cyanidin 3-O-sophoroside,Anthocyanins,611,None,TRUE,1,hours,0,NA,16.4,3.4,SEM,NA,9202,nmol/L
265,92,rat,10101103,Cyanidin 3-O-sophoroside,Anthocyanins,611,None,TRUE,3,hours,0,NA,8.2,1.1,SEM,NA,9202,nmol/L
265,92,rat,10101103,Cyanidin 3-O-sophoroside,Anthocyanins,611,None,TRUE,6,hours,0,NA,5.8,1.5,SEM,NA,9202,nmol/L
265,92,rat,10101103,Cyanidin 3-O-sophoroside,Anthocyanins,611,None,TRUE,12,hours,0,NA,1.5,0,SEM,NA,9202,nmol/L
265,92,rat,10101103,Cyanidin 3-O-sophoroside,Anthocyanins,611,None,TRUE,24,hours,0,NA,0,NA,SEM,NA,9202,nmol/L
268,92,rat,10102603,Pelargonidin 3-O-glucosyl-rutinoside,Anthocyanins,741,None,TRUE,1,hours,0,NA,7.7,2.1,SEM,NA,9202,nmol/L
268,92,rat,10102603,Pelargonidin 3-O-glucosyl-rutinoside,Anthocyanins,741,None,TRUE,3,hours,0,NA,3.8,2.1,SEM,NA,9202,nmol/L
268,92,rat,10102603,Pelargonidin 3-O-glucosyl-rutinoside,Anthocyanins,741,None,TRUE,6,hours,0,NA,2,0.2,SEM,NA,9202,nmol/L
268,92,rat,10102603,Pelargonidin 3-O-glucosyl-rutinoside,Anthocyanins,741,None,TRUE,12,hours,0,NA,0,NA,NA,NA,9202,nmol/L
268,92,rat,10102603,Pelargonidin 3-O-glucosyl-rutinoside,Anthocyanins,741,None,TRUE,24,hours,0,NA,0,NA,NA,NA,9202,nmol/L
280,93,rat,30111903,Punicalagin,Hydroxybenzoic acids,1084,None,FALSE,7,days,NA,NA,29,NA,NA,NA,NA,µg/mL
281,94,rat,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,TRUE,7,days,NA,NA,0.75,NA,NA,NA,9401,µg/mL
281,94,rat,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,TRUE,14,days,NA,NA,0.3,NA,NA,NA,9401,µg/mL
281,94,rat,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,TRUE,21,days,NA,NA,0.6,NA,NA,NA,9401,µg/mL
281,94,rat,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,TRUE,29,days,NA,NA,0.3,NA,NA,NA,9401,µg/mL
281,94,rat,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,TRUE,37,days,NA,NA,0.35,NA,NA,NA,9401,µg/mL
282,94,rat,30111903,Punicalagin,Hydroxybenzoic acids,1084,None,TRUE,7,days,NA,NA,29,NA,NA,NA,9401,µg/mL
282,94,rat,30111903,Punicalagin,Hydroxybenzoic acids,1084,None,TRUE,14,days,NA,NA,28.5,NA,NA,NA,9401,µg/mL
282,94,rat,30111903,Punicalagin,Hydroxybenzoic acids,1084,None,TRUE,21,days,NA,NA,28.5,NA,NA,NA,9401,µg/mL
282,94,rat,30111903,Punicalagin,Hydroxybenzoic acids,1084,None,TRUE,29,days,NA,NA,28.5,NA,NA,NA,9401,µg/mL
282,94,rat,30111903,Punicalagin,Hydroxybenzoic acids,1084,None,TRUE,37,days,NA,NA,29.5,NA,NA,NA,9401,µg/mL
285,94,rat,30112003,Gallagic acid,Hydroxybenzoic acids,602,None,TRUE,7,days,NA,NA,0,NA,NA,NA,9401,µg/mL
285,94,rat,30112003,Gallagic acid,Hydroxybenzoic acids,602,None,TRUE,14,days,NA,NA,0,NA,NA,NA,9401,µg/mL
285,94,rat,30112003,Gallagic acid,Hydroxybenzoic acids,602,None,TRUE,21,days,NA,NA,1,NA,NA,NA,9401,µg/mL
285,94,rat,30112003,Gallagic acid,Hydroxybenzoic acids,602,None,TRUE,29,days,NA,NA,3,NA,NA,NA,9401,µg/mL
285,94,rat,30112003,Gallagic acid,Hydroxybenzoic acids,602,None,TRUE,37,days,NA,NA,6,NA,NA,NA,9401,µg/mL
291,95,human,90112303,Urolithin C,Hydroxycoumarins,244,None,TRUE,1,days,0,NA,0,NA,NA,NA,9501,µmol/L
291,95,human,90112303,Urolithin C,Hydroxycoumarins,244,None,TRUE,2,days,0,NA,0.43,NA,NA,NA,9501,µmol/L
291,95,human,90112303,Urolithin C,Hydroxycoumarins,244,None,TRUE,3,days,0,NA,0.53,NA,NA,NA,9501,µmol/L
291,95,human,90112303,Urolithin C,Hydroxycoumarins,244,None,TRUE,4,days,0,NA,0.3,NA,NA,NA,9501,µmol/L
291,95,human,90112303,Urolithin C,Hydroxycoumarins,244,None,TRUE,5,days,0,NA,0.28,NA,NA,NA,9501,µmol/L
2890,95,human,90112203,Urolithin B 3-O-glucuronide,Hydroxycoumarins,388,None,TRUE,1,days,0,NA,0,NA,NA,NA,9501,µmol/L
2890,95,human,90112203,Urolithin B 3-O-glucuronide,Hydroxycoumarins,388,None,TRUE,2,days,0,NA,1.21,NA,NA,NA,9501,µmol/L
2890,95,human,90112203,Urolithin B 3-O-glucuronide,Hydroxycoumarins,388,None,TRUE,3,days,0,NA,0.18,NA,NA,NA,9501,µmol/L
2890,95,human,90112203,Urolithin B 3-O-glucuronide,Hydroxycoumarins,388,None,TRUE,4,days,0,NA,2.3,NA,NA,NA,9501,µmol/L
2890,95,human,90112203,Urolithin B 3-O-glucuronide,Hydroxycoumarins,388,None,TRUE,5,days,0,NA,1.73,NA,NA,NA,9501,µmol/L
305,98,human,10101203,Pelargonidin 3-O-glucoside,Anthocyanins,433,None,FALSE,6,hours,NA,NA,6.2,4.4,SD,NA,NA,nmol/L
301,99,human,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,TRUE,0.5,minutes,0,NA,5,NA,SEM,NA,NA,ng/mL
301,99,human,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,TRUE,1,minutes,0,NA,33.8,NA,NA,NA,NA,ng/mL
301,99,human,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,TRUE,2,minutes,0,NA,12,NA,NA,NA,NA,ng/mL
301,99,human,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,TRUE,6,minutes,0,NA,4,NA,NA,NA,NA,ng/mL
301,99,human,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,TRUE,24,minutes,0,NA,0,NA,NA,NA,NA,ng/mL
307,100,mouse,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,FALSE,0.5,hours,NA,NA,11.5,1.4,SEM,NA,NA,ng/mL
308,101,mouse,90112003,Urolithin A,Hydroxycoumarins,228,None,TRUE,0.5,hours,NA,NA,50,NA,NA,NA,NA,ng/mL
308,101,mouse,90112003,Urolithin A,Hydroxycoumarins,228,None,TRUE,1,hours,NA,NA,50,NA,NA,NA,NA,ng/mL
308,101,mouse,90112003,Urolithin A,Hydroxycoumarins,228,None,TRUE,2,hours,NA,NA,75,NA,NA,NA,NA,ng/mL
308,101,mouse,90112003,Urolithin A,Hydroxycoumarins,228,None,TRUE,4,hours,NA,NA,60,NA,NA,NA,NA,ng/mL
308,101,mouse,90112003,Urolithin A,Hydroxycoumarins,228,None,TRUE,6,hours,NA,NA,50,NA,NA,NA,NA,ng/mL
309,102,human,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,TRUE,0.5,hours,0,NA,0.05,NA,SD,NA,10201,µmol/L
309,102,human,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,TRUE,1,hours,0,NA,0.06,NA,NA,NA,10201,µmol/L
309,102,human,30100803,Ellagic acid,Hydroxybenzoic acids,302,None,TRUE,2,hours,0,NA,0.04,NA,NA,NA,10201,µmol/L
