method.full,Hydrolysis,food,food2,process,compound,cmpd.order,RF
2 - Chromatography after hydrolysis,Yes,"Broccoli, raw",Broccoli,boiled,Quercetin,12,0.220025319
2 - Chromatography after hydrolysis,Yes,"Carrot, raw",Carrot,boiled,Quercetin,12,0.374877449
2 - Chromatography after hydrolysis,Yes,"Cauliflower, raw",Cauliflower,boiled,Quercetin,12,0.706179082
2 - Chromatography after hydrolysis,Yes,"Onion [Unknown color], raw",Onion,boiled,Quercetin,12,0.445609763
1 - Chromatography,No,"Onion [Yellow], raw",Onion,boiled,"Quercetin 3,4'-O-diglucoside",11,0.796811369
1 - Chromatography,No,"Potato, peeled, raw","Potato, peeled",boiled,Quercetin 3-O-diglucoside,10,0.355555582
1 - Chromatography,No,"Broccoli, raw",Broccoli,boiled,Quercetin 3-O-glucoside,9,0.185000006
1 - Chromatography,No,"Potato, peeled, raw","Potato, peeled",boiled,Quercetin 3-O-gluc-rham-gluc,8,0.369230795
1 - Chromatography,No,"Green bean, raw",Green bean,boiled,Quercetin 3-O-rhamnoside,7,0.798435979
2 - Chromatography after hydrolysis,Yes,"Carrot, raw",Carrot,boiled,Quercetin 3-O-rutinoside,6,0.326518442
2 - Chromatography after hydrolysis,Yes,"Cauliflower, raw",Cauliflower,boiled,Quercetin 3-O-rutinoside,6,0.080247626
1 - Chromatography,No,"Green bean, raw",Green bean,boiled,Quercetin 3-O-rutinoside,6,0.783888122
1 - Chromatography,No,"Potato, peeled, raw","Potato, peeled",boiled,Quercetin 3-O-rutinoside,6,0.533333349
1 - Chromatography,No,"Zucchini, raw",Zucchini,boiled,Quercetin 3-O-rutinoside,6,0.653673874
1 - Chromatography,No,"Broccoli, raw",Broccoli,boiled,Quercetin 3-O-sophoroside,5,0.307384597
1 - Chromatography,No,"Onion [Unknown color], raw",Onion,boiled,Quercetin 4'-O-glucoside,4,0.548957695
1 - Chromatography,No,"Onion [Yellow], raw",Onion,boiled,Quercetin 4'-O-glucoside,4,0.542495188
2 - Chromatography after hydrolysis,Yes,"Broccoli, raw",Broccoli,boiled,Malvidin,3,0
2 - Chromatography after hydrolysis,Yes,"Carrot, raw",Carrot,boiled,Luteolin,2,0.276707824
2 - Chromatography after hydrolysis,Yes,"Cauliflower, raw",Cauliflower,boiled,Luteolin,2,0.743346393
2 - Chromatography after hydrolysis,Yes,"Carrot, raw",Carrot,boiled,Naringenin,1,0.144160005
2 - Chromatography after hydrolysis,Yes,"Cauliflower, raw",Cauliflower,boiled,Naringenin,1,0
