bc.no,inter,species,cicon,compound,subclass,mol.wt,hydrolysis,timecourse,cumulative,source.graphno,metab.graphno,timepoint,timepoint2,timepoint3,timepoint4,timepoint5,time.unit,baseline.conc,baseline.error,conc,conc.error,metab.measure,error.measure
123,40,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,TRUE,TRUE,3801,NA,6,NA,NA,NA,NA,hours,0,NA,13,NA,mg,NA
123,40,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,TRUE,TRUE,3801,NA,12,NA,NA,NA,NA,hours,0,NA,15,NA,mg,NA
123,40,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,TRUE,TRUE,3801,NA,24,NA,NA,NA,NA,hours,0,NA,15,NA,mg,NA
135,45,human,10800203,Quercetin,Flavonols,302,?-glucuronidase and sulfatase,TRUE,TRUE,NA,NA,3,6,9,12,24,hours,0,NA,1.25,NA,mg,NA
135,45,human,10800203,Quercetin,Flavonols,302,?-glucuronidase and sulfatase,TRUE,TRUE,NA,NA,6,NA,NA,NA,NA,hours,0,NA,2,NA,mg,NA
135,45,human,10800203,Quercetin,Flavonols,302,?-glucuronidase and sulfatase,TRUE,TRUE,NA,NA,9,NA,NA,NA,NA,hours,0,NA,2.4,NA,mg,NA
135,45,human,10800203,Quercetin,Flavonols,302,?-glucuronidase and sulfatase,TRUE,TRUE,NA,NA,12,NA,NA,NA,NA,hours,0,NA,2.7,NA,mg,NA
135,45,human,10800203,Quercetin,Flavonols,302,?-glucuronidase and sulfatase,TRUE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,0,NA,3,NA,mg,NA
137,46,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,hours,NA,NA,179.2,276,nmol/g creatinine,SD
138,46,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,hours,NA,NA,59.6,88.7,nmol/g creatinine,SD
139,46,human,60102503,cis-Resveratrol 3-O-glucuronide,Stilbenes,404,None,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,hours,NA,NA,893.5,894.6,nmol/g creatinine,SD
140,46,human,60102703,cis-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,hours,NA,NA,355.8,567.4,nmol/g creatinine,SD
141,46,human,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,None,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,hours,NA,NA,74.7,339,nmol/g creatinine,SD
142,46,human,60103703,trans-Resveratrol 4'-sulfate,Stilbenes,308,None,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,hours,NA,NA,2.4,14.8,nmol/g creatinine,SD
143,46,human,60102603,cis-Resveratrol 3-sulfate,Stilbenes,308,None,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,hours,NA,NA,221.2,1010.1,nmol/g creatinine,SD
144,46,human,60102803,cis-Resveratrol 4'-sulfate,Stilbenes,308,None,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,hours,NA,NA,9294.2,8219.2,nmol/g creatinine,SD
155,51,human,60101703,Resveratrol,Stilbenes,228,None,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,52,human,60100103,Trans-Resveratrol,Stilbenes,228,None,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,53,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,FALSE,FALSE,NA,NA,28,NA,NA,NA,NA,days,NA,NA,75,NA,nmol/g creatinine,NA
158,53,human,60102503,cis-Resveratrol 3-O-glucuronide,Stilbenes,404,None,FALSE,FALSE,NA,NA,28,NA,NA,NA,NA,days,NA,NA,38,NA,nmol/g creatinine,NA
159,54,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,FALSE,FALSE,NA,NA,28,NA,NA,NA,NA,days,NA,NA,500,NA,nmol/g creatinine,NA
160,54,human,60102503,cis-Resveratrol 3-O-glucuronide,Stilbenes,404,None,FALSE,FALSE,NA,NA,28,NA,NA,NA,NA,days,NA,NA,150,NA,nmol/g creatinine,NA
169,61,rat,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,TRUE,NA,NA,2,4,8,12,24,hours,0,NA,2.18,NA,µg,NA
169,61,rat,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,TRUE,NA,NA,4,NA,NA,NA,NA,hours,0,NA,2.7,NA,µg,NA
169,61,rat,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,TRUE,NA,NA,8,NA,NA,NA,NA,hours,0,NA,20.98,NA,µg,NA
169,61,rat,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,TRUE,NA,NA,12,NA,NA,NA,NA,hours,0,NA,27.27,NA,µg,NA
169,61,rat,60100103,Trans-Resveratrol,Stilbenes,228,None,TRUE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,0,NA,29.83,NA,µg,NA
177,64,rat,90180103,Tyrosol,Tyrosols,138,?-glucuronidase,FALSE,FALSE,NA,NA,80,NA,NA,NA,NA,days,NA,NA,814.5,NA,ng/ml,NA
178,64,rat,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,FALSE,NA,NA,80,NA,NA,NA,NA,days,NA,NA,1036.7,NA,ng/ml,NA
179,65,rat,90180103,Tyrosol,Tyrosols,138,?-glucuronidase,FALSE,FALSE,NA,NA,80,NA,NA,NA,NA,days,NA,NA,1855.6,NA,ng/mL,NA
180,65,rat,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,FALSE,NA,NA,80,NA,NA,NA,NA,days,NA,NA,404.3,NA,ng/mL,NA
186,68,rat,90181003,Oleuropein,Tyrosols,540,?-glucuronidase,FALSE,FALSE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,95,NA,ng/mL,NA
187,68,rat,90181003,Oleuropein,Tyrosols,540,None,FALSE,FALSE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,10,NA,ng/mL,NA
188,68,rat,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,FALSE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,2500,NA,ng/mL,NA
189,68,rat,90180203,Hydroxytyrosol,Tyrosols,154,None,FALSE,FALSE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,40,NA,ng/mL,NA
190,69,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase and sulfatase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,267,NA,µg,NA
191,69,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase and sulfatase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,367,NA,µg,NA
192,69,human,30305203,Homovanillic acid,Hydroxyphenylacetic acids,182,?-glucuronidase and sulfatase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1027,NA,µg,NA
193,70,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase and sulfatase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1328,NA,µg,NA
194,70,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase and sulfatase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,749,NA,µg,NA
195,70,human,30305203,Homovanillic acid,Hydroxyphenylacetic acids,182,?-glucuronidase and sulfatase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,2380,NA,µg,NA
196,71,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase and sulfatase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1112,NA,µg,NA
197,71,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase and sulfatase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1137,NA,µg,NA
198,71,human,30305203,Homovanillic acid,Hydroxyphenylacetic acids,182,?-glucuronidase and sulfatase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,2837,NA,µg,NA
199,72,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase and sulfatase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1653,NA,µg,NA
200,72,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase and sulfatase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1567,NA,µg,NA
201,72,human,30305203,Homovanillic acid,Hydroxyphenylacetic acids,182,?-glucuronidase and sulfatase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,3759,NA,µg,NA
202,73,human,90180103,Tyrosol,Tyrosols,138,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,10.7,8,238.8,105.9,µg,SD
203,73,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,66.4,42,847.7,359.1,µg,SD
204,73,human,90180103,Tyrosol,Tyrosols,138,None,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,28.6,7.9,µg,SD
205,73,human,90180203,Hydroxytyrosol,Tyrosols,154,None,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,47.3,76.2,µg,SD
207,74,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,12,NA,NA,NA,NA,hours,NA,NA,479.6,100,µg,SD
209,74,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase,FALSE,TRUE,NA,NA,12,NA,NA,NA,NA,hours,NA,NA,122.9,32,µg,SD
210,74,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,None,FALSE,TRUE,NA,NA,12,NA,NA,NA,NA,hours,NA,NA,7.5,1.5,µg,SD
221,76,rat,30305203,Homovanillic acid,Hydroxyphenylacetic acids,182,?-glucuronidase and sulfatase,TRUE,FALSE,NA,NA,1,2,4,8,24,hours,0,NA,2.31,NA,%,SD
221,76,rat,30305203,Homovanillic acid,Hydroxyphenylacetic acids,182,?-glucuronidase and sulfatase,TRUE,FALSE,NA,NA,2,NA,NA,NA,NA,hours,0,NA,5.52,NA,%,SD
221,76,rat,30305203,Homovanillic acid,Hydroxyphenylacetic acids,182,?-glucuronidase and sulfatase,TRUE,FALSE,NA,NA,4,NA,NA,NA,NA,hours,0,NA,8.69,NA,%,SD
221,76,rat,30305203,Homovanillic acid,Hydroxyphenylacetic acids,182,?-glucuronidase and sulfatase,TRUE,FALSE,NA,NA,8,NA,NA,NA,NA,hours,0,NA,10.26,NA,%,SD
221,76,rat,30305203,Homovanillic acid,Hydroxyphenylacetic acids,182,?-glucuronidase and sulfatase,TRUE,FALSE,NA,NA,24,NA,NA,NA,NA,hours,0,NA,10.26,NA,%,SD
222,77,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,312,265,µg,SD
223,77,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,367,177,µg,SD
224,78,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,598,253,µg,SD
225,78,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,749,556,µg,SD
226,79,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,873,323,µg,SD
227,79,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1137,267,µg,SD
228,80,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1024,377,µg,SD
229,80,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1567,707,µg,SD
230,81,human,90180103,Tyrosol,Tyrosols,138,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,375,NA,µg,NA
231,81,human,90180103,Tyrosol,Tyrosols,138,None,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,45,NA,µg,NA
232,81,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,250,NA,µg,NA
233,81,human,90180203,Hydroxytyrosol,Tyrosols,154,None,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,25,NA,µg,NA
238,82,human,90180103,Tyrosol,Tyrosols,138,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1200,NA,µg,NA
239,82,human,90180103,Tyrosol,Tyrosols,138,None,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,65,NA,µg,NA
240,82,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1375,NA,µg,NA
241,82,human,90180203,Hydroxytyrosol,Tyrosols,154,None,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,42,NA,µg,NA
242,83,human,90180103,Tyrosol,Tyrosols,138,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1100,NA,µg,NA
243,83,human,90180103,Tyrosol,Tyrosols,138,None,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,95,NA,µg,NA
244,83,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1150,NA,µg,NA
245,83,human,90180203,Hydroxytyrosol,Tyrosols,154,None,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,47,NA,µg,NA
246,84,human,90180103,Tyrosol,Tyrosols,138,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1600,NA,µg,NA
247,84,human,90180103,Tyrosol,Tyrosols,138,None,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,30,NA,µg,NA
248,84,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,1600,NA,µg,NA
249,84,human,90180203,Hydroxytyrosol,Tyrosols,154,None,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,15,NA,µg,NA
250,85,rat,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,3.66,NA,ng,NA
251,86,rat,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,8.33,NA,ng,NA
252,87,rat,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,15,NA,ng,NA
253,88,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,180.4,119,1118.8,428.7,µg,SD
254,88,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,68.7,25,463.4,108.4,µg,SD
255,89,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,NA,NA,µg,NA
256,89,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase,FALSE,TRUE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,NA,NA,µg,NA
257,90,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,FALSE,FALSE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,4,NA,µmol/L,NA
258,90,human,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase,FALSE,FALSE,NA,NA,24,NA,NA,NA,NA,hours,NA,NA,9,NA,µmol/L,NA
259,91,rat,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,TRUE,TRUE,NA,9101,24,NA,NA,NA,NA,hours,16.5,6.1,35.7,NA,µg,SD
260,91,rat,90120103,Homovanillyl alcohol,Hydroxyphenylalcohols,168,?-glucuronidase,TRUE,TRUE,NA,9101,24,NA,NA,NA,NA,hours,8.1,4.4,17.2,NA,µg,SD
263,92,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,TRUE,TRUE,NA,9201,1,2,6,12,24,hours,0,NA,0.04,NA,nmol,SEM
263,92,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,TRUE,TRUE,NA,9201,2,NA,NA,NA,NA,hours,0,NA,0.19,NA,nmol,SEM
263,92,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,TRUE,TRUE,NA,9201,6,NA,NA,NA,NA,hours,0,NA,0.33,NA,nmol,SEM
263,92,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,TRUE,TRUE,NA,9201,12,NA,NA,NA,NA,hours,0,NA,0.38,NA,nmol,SEM
263,92,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,TRUE,TRUE,NA,9201,24,NA,NA,NA,NA,hours,0,NA,0.42,NA,nmol,SEM
264,92,rat,10101003,Cyanidin 3-O-rutinoside,Anthocyanins,595,None,TRUE,TRUE,NA,9201,1,2,6,12,24,hours,0,NA,0.03,NA,nmol,SEM
264,92,rat,10101003,Cyanidin 3-O-rutinoside,Anthocyanins,595,None,TRUE,TRUE,NA,9201,2,NA,NA,NA,NA,hours,0,NA,0.15,NA,nmol,SEM
264,92,rat,10101003,Cyanidin 3-O-rutinoside,Anthocyanins,595,None,TRUE,TRUE,NA,9201,6,NA,NA,NA,NA,hours,0,NA,0.21,NA,nmol,SEM
