,CEREAL AND CEREAL PRODUCTS, Leafy vegetables,Fruiting vegetables, Root vegetables, Cabbages, Grain and pod vegetables," Onion, garlic"," Stalk vegetables, sprouts", Legumes, Nuts (-spread) and seeds, Olives, Breakfast cereals," Chocolate, candy bars, paste, confetti",Wine, Soya products, Citrus fruits, Apple and pear, Grape, Berries, Olive oil, Citrus juices, Coffee, Tea, Herbal tea, Red wine, Beer, Cider,"Bread, non-white"
Phloretin,-0.05321,0.0473,-0.01762,-0.04257,0.08112,0.01568,0.00667,-0.02505,-0.05727,-0.05428,-0.02194,-0.00491,-0.06055,-0.06472,-0.03098,0.18398,0.38987,-0.01592,-0.06526,-0.09727,0.00103,0.07469,0.09891,0.10529,-0.03433,0.10755,0.09815,0.09178
Kaempferol,-0.02314,0.12054,-0.00974,0.05115,0.1491,-0.04556,0.08941,0.10652,0.03191,0.06416,0.07277,-0.02905,-0.02211,0.01566,0.02369,0.33393,0.07687,-0.03303,0.0724,0.0559,0.12171,-0.05006,0.20167,0.05762,0.03502,0.04299,0.03765,0.05464
Epicatechin,-0.08821,0.0178,-0.04003,0.01135,0.07301,0.06432,-0.00974,-0.00038,-0.07569,-0.04438,-0.09853,-0.08511,0.20982,0.18338,-0.01631,0.03678,0.24458,-0.02839,-0.04441,-0.15189,-0.02196,0.0714,0.31259,0.06497,0.17079,0.05364,0.04382,-0.00904
Catechin,-0.00812,0.05157,0.02949,0.01446,0.04236,0.09257,0.02073,0.02963,-0.02159,-0.0114,-0.01831,-0.07592,0.05329,0.36442,0.0026,-0.04176,0.05188,-0.0092,0.16414,-0.0842,-0.02898,0.0082,0.22905,-0.02549,0.35155,0.13358,0.02061,-0.01152
Hesperetin,0.11909,0.04775,-0.15708,-0.04452,0.08698,-0.01135,0.0397,-0.0091,0.02721,-0.02103,0.00546,-0.02043,-0.02591,0.02317,-0.05655,0.53557,0.11181,-0.03704,-0.11037,0.03518,0.16738,-0.01708,-0.07063,0.00873,0.02468,0.05087,0.05971,0.01653
Homovanillic acid,0.12692,0.11331,-0.00377,0.01864,0.03922,0.07583,0.06892,0.05476,0.04362,0.02637,0.21505,-0.00225,0.09284,0.12455,0.02087,0.17894,0.16759,0.06831,0.01779,0.04395,0.00114,-0.08453,0.02147,0.07996,0.12189,0.03792,0.00517,-0.02843
Isorhamnetin,-0.09326,0.08705,0.08501,0.0107,0.10408,0.03321,0.05673,-0.02412,0.0248,0.03252,-0.00291,-0.0244,-0.05556,0.05145,0.03127,0.05193,0.02453,-0.0171,0.05441,0.07195,0.04532,-0.01915,0.13565,0.15484,0.06723,0.01929,0.08428,0.00281
Ferulic acid,0.02865,-0.03632,-0.13333,-0.0131,0.02339,-0.04279,-0.08264,0.02065,-0.04605,-0.00494,-0.0586,0.03424,0.05554,0.01917,-0.056,0.21562,0.13012,0.01812,0.02945,-0.26361,0.13013,0.48569,-0.03835,0.01387,-0.00492,0.19798,0.05748,0.09213
Resveratrol,0.06926,0.06842,-0.04347,-0.03684,0.09276,0.10007,-0.02063,0.02309,-0.02643,0.04621,-0.05787,0.03854,0.00256,0.55766,-0.00905,0.12651,-0.01174,0.07009,0.06333,-0.05682,0.00383,0.0237,0.02574,-0.04877,0.57057,-0.06989,-0.0095,-0.16992
Quercetin,-0.09414,0.12826,0.02494,0.0163,0.1503,0.01843,0.1815,0.03344,-0.00069,-0.01221,-0.02325,-0.02929,-0.04012,0.12632,-0.0101,0.18859,0.09699,0.01091,-0.01086,0.04236,0.01621,0.02781,0.22214,0.16661,0.14056,0.05724,0.03507,0.03394
Caffeic acid,-0.06897,-0.03122,-0.07154,-0.00709,0.0821,-0.02729,-0.09891,0.02122,-0.07587,-0.02134,-0.02373,0.01577,0.03543,0.09913,-0.03075,0.09171,0.12173,0.0237,0.00292,-0.24415,0.05092,0.54481,-0.04938,0.06334,0.06373,0.10389,0.07366,0.08193
Equol,0.01914,0.00264,0.03029,0.14312,0.03759,0.0248,-0.04201,0.03875,-0.05647,0.0777,-0.09563,0.06519,0.00937,-0.00985,0.06575,0.04109,-0.0332,0.00767,0.00478,0.03844,-0.00525,-0.02456,0.02648,0.13503,-0.03349,-0.01679,0.07033,-0.05142
Daidzein,-0.14397,-0.08422,-0.04872,0.08713,-0.0205,0.05521,-0.00597,-0.00076,-0.04649,0.02418,-0.12078,0.13701,0.0586,-0.03822,0.13893,0.01181,-0.0327,0.01151,0.10937,-0.15253,0.11381,0.23966,0.15321,0.19273,-0.08553,0.11802,0.07331,0.08634
Enterolactone,-0.10907,-0.04359,0.07726,0.05633,0.11026,-0.02637,-0.08822,-0.02137,-0.0008,-0.03827,0.01833,0.05642,-0.06935,-0.03147,-0.0467,-0.04415,-0.07963,0.0849,0.07107,-0.15631,0.08257,0.1827,0.17411,0.14052,-0.05437,0.09787,0.07713,0.1424
Enterodiol,-0.0905,-0.01727,0.03284,0.03508,0.13586,-0.03116,0.04699,0.09074,0.01482,0.02774,0.07316,0.08561,0.02491,-0.0645,-0.04231,-0.01683,-0.07111,0.06588,0.06309,-0.00115,0.01167,0.09368,0.08313,0.13061,-0.06502,0.04256,0.03962,0.11183
Gallic acid,-0.03238,0.03211,-0.03956,0.0519,0.05724,0.06601,-0.01675,0.00556,0.00478,0.02992,-0.04803,-0.00946,0.1083,0.43967,-0.00588,0.07082,0.04125,0.00744,-0.04207,-0.12796,-0.03923,0.03942,0.43661,0.0256,0.45446,0.00027,0.01318,-0.04102
Gallic acid ethyl ester,0.1174,0.0918,0.01598,-0.00958,0.07545,0.12265,0.07525,0.02452,-0.00414,-0.01203,-0.00746,-0.0039,-0.02514,0.64862,-0.03591,0.0553,0.03191,-0.06792,0.0287,0.05823,-0.02566,-0.13532,0.02891,-0.0476,0.71233,-0.08935,-0.02338,-0.20334
