Compound,Type
Dihydrodaidzein,0
Equol,0
O-Desmethylangolensin,0
3-Methoxy-4-hydroxyphenyllactic acid,0
Hydroxydanshensu,0
4-O-Methyldelphinidin 3-O-D-glucoside,0
4'-O-Methyldelphinidin 3-O-rutinoside,0
Dihydroferulic acid,0
Eriodictyol,0
Hesperetin,0
Dihydroferuloylglycine,0
Vanilloylglycine,0
4-Hydroxyphenyl-2-propionic acid,0
6'-Hydroxy-O-desmethylangolensin,0
Dihydrogenistein,0
Hesperetin 3'-O-glucuronide,0
Hesperetin 7-O-glucuronide,0
Homoeriodictyol,0
"5,7-Dihydroxy-8,4'-dimethoxyisoflavone",0
Biochanin A,0
Irisolidone,0
Irisolidone 7-O-glucuronide,0
Isotectorigenin,0
Tectorigenin,0
Tectorigenin 4'-sulfate,0
Tectorigenin 7-sulfate,0
Naringenin 5-O-glucuronide,0
Naringenin 7-O-glucuronide,0
Isosakuranetin,0
Homovanillyl alcohol,0
Hydroxytyrosol,0
Tyrosol,0
5-p-Coumaroylquinic acid,0
Ellagic acid,0
Gallagic acid,0
Punicalin,0
Urolithin A,0
Urolithin C,0
Isorhamnetin,0
Quercetin 3-O-glucuronide,0
Dihydroresveratrol,0
Resveratrol 3-sulfate,0
Trans-Resveratrol,0
trans-Resveratrol 3-O-glucuronide,0
trans-Resveratrol 3-sulfate,0
"trans-Resveratrol 3,4'-disulfate",0
"trans-Resveratrol 3,5-disulfate",0
trans-Resveratrol 4'-O-glucuronide,0
3-O-Methylrosmarinic acid,0
Sesaminol,0
Dihydrosinapic acid,0
