method.group,food,process,compound.subclass,compound,mean.rf,ref
1 - Chromatography,"Common bean [Black], whole, raw",Steamed,Flavanols,(+)-Epicatechin,0.336311373,Baojun 2009
1 - Chromatography,"Common bean [Black], whole, raw",Steamed,Hydroxybenzoic acids,Gallic acid,0.303157658,Baojun 2009
1 - Chromatography,"Common bean [Black], whole, raw",Steamed,Flavonols,Myricetin,0.271677688,Baojun 2009
1 - Chromatography,"Common bean [Black], whole, raw",Steamed,Flavanols,(-)-Epicatechin 3-O-gallate,0.222510062,Baojun 2009
2 - Chromatography after hydrolysis,"Common bean [Black], whole, raw",Steamed,Hydroxycinnamic acids,Cinnamic acid*,0.20121006,Baojun 2009
2 - Chromatography after hydrolysis,"Common bean [Black], whole, raw",Steamed,Hydroxycinnamic acids,o-Coumaric acid*,0.195209315,Baojun 2009
2 - Chromatography after hydrolysis,"Common bean [Black], whole, raw",Steamed,Hydroxybenzoic acids,"2,3,4-Trihydroxybenzoic acid*",0.193220502,Baojun 2009
2 - Chromatography after hydrolysis,"Common bean [Black], whole, raw",Steamed,Hydroxybenzoic acids,Syringic acid*,0.157408881,Baojun 2009
1 - Chromatography,"Common bean [Black], whole, raw",Steamed,Anthocyanins,"Malvidin 3,5-O-diglucoside",0.143242567,Baojun 2009
1 - Chromatography,"Common bean [Black], whole, raw",Steamed,Hydroxybenzoic acids,Vanillic acid,0.047130655,Baojun 2009
1 - Chromatography,"Common bean [Black], whole, raw",Steamed,Anthocyanins,Malvidin 3-O-glucoside,0.037792729,Baojun 2009
1 - Chromatography,"Common bean [Black], whole, raw",Steamed,Anthocyanins,Petunidin 3-O-glucoside,0.029600451,Baojun 2009
1 - Chromatography,"Common bean [Black], whole, raw",Steamed,Anthocyanins,Delphinidin 3-O-glucoside,0.023772181,Baojun 2009
